City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
srivardhan,18.0333,73.0167,66.38,74,45,5.95,IN,1644104071
te anau,-45.4167,167.7167,61.45,45,11,5.37,NZ,1644104072
gat,31.61,34.7642,52.39,100,80,7.83,IL,1644104060
kavieng,-2.5744,150.7967,83.5,72,69,5.97,PG,1644104072
narsaq,60.9167,-46.05,1.62,70,59,6.49,GL,1644103886
salalah,17.0151,54.0924,73.49,73,20,4.61,OM,1644104072
talcahuano,-36.7167,-73.1167,67.68,64,0,12.66,CL,1644104073
cidreira,-30.1811,-50.2056,74.64,90,100,3.94,BR,1644104073
llanes,43.4198,-4.7549,40.26,67,9,3.91,ES,1644104073
tselinnoye,53.0833,85.6667,-2.7,100,82,2.75,RU,1644104074
bardiyah,31.7561,25.0865,53.85,68,0,15.19,LY,1644104074
danjiangkou,32.5428,111.5086,35.83,49,100,4.63,CN,1644104074
huasahuasi,-11.3167,-75.6167,43.11,92,99,3.02,PE,1644104075
oliveira dos brejinhos,-12.3169,-42.8961,72.84,80,94,3.29,BR,1644104075
saint-philippe,-21.3585,55.7679,80.19,82,100,17.2,RE,1644104075
hithadhoo,-0.6,73.0833,81.73,74,62,10.76,MV,1644104076
bagdarin,54.4333,113.6,-15.03,96,13,3.11,RU,1644104076
arraial do cabo,-22.9661,-42.0278,76.75,85,59,27.04,BR,1644104076
odweyne,9.4092,45.064,63.81,21,92,10.09,SO,1644104077
grindavik,63.8424,-22.4338,25.27,74,75,3.44,IS,1644104077
guayaramerin,-10.8368,-65.3614,73.76,92,81,2.73,BO,1644104077
alice springs,-23.7,133.8833,69.35,60,0,0.0,AU,1644104077
san quintin,30.4833,-115.95,61.56,32,0,6.31,MX,1644104078
chignahuapan,19.8333,-98.0333,50.38,72,57,1.79,MX,1644104078
obo,5.3998,26.4869,72.88,20,100,6.08,CF,1644104078
zykovo,55.9519,93.1461,23.99,87,100,4.38,RU,1644104079
esperance,-33.8667,121.9,69.64,62,5,18.37,AU,1644103723
half moon bay,37.4636,-122.4286,67.78,52,0,1.01,US,1644103798
ambilobe,-13.2,49.05,72.54,95,84,2.91,MG,1644104079
new norfolk,-42.7826,147.0587,66.65,44,76,2.33,AU,1644104079
gweta,-20.1833,25.2333,74.25,57,74,13.69,BW,1644104080
deputatskiy,69.3,139.9,-29.47,97,96,3.18,RU,1644104080
bijie,27.3125,105.2942,35.17,97,100,4.83,CN,1644104080
bengkulu,-3.8004,102.2655,73.27,97,100,10.6,ID,1644104081
nikolskoye,59.7035,30.7861,25.72,96,100,6.62,RU,1644104081
la rioja,42.25,-2.5,33.12,84,7,5.01,ES,1644104081
ostrovnoy,68.0531,39.5131,15.94,83,100,28.5,RU,1644104082
imperia,43.9667,7.7833,46.42,79,3,4.61,IT,1644104082
kincardine,56.0667,-3.7167,41.38,90,83,15.75,GB,1644104082
canutama,-6.5339,-64.3831,73.76,93,95,0.4,BR,1644104082
saint anthony,45.0205,-93.218,25.48,67,100,4.0,US,1644104083
korla,41.7597,86.1469,22.89,42,73,9.46,CN,1644104083
lardos,36.0942,28.0157,53.94,78,44,6.46,GR,1644104083
bougouni,11.417,-7.479,74.1,12,53,5.28,ML,1644104084
rio gallegos,-51.6226,-69.2181,69.85,37,75,25.32,AR,1644103896
bartica,6.4,-58.6167,73.31,99,83,2.71,GY,1644104084
raudeberg,61.9875,5.1352,36.86,90,100,10.0,NO,1644104084
petropavlovsk-kamchatskiy,53.0452,158.6483,21.79,54,75,6.71,RU,1644104085
nyurba,63.2842,118.3319,-23.73,100,83,2.26,RU,1644104085
ust-tsilma,65.441,52.1498,-7.15,99,96,4.16,RU,1644104085
sitka,57.0531,-135.33,40.89,81,100,26.46,US,1644103989
yatou,37.15,122.3833,30.11,51,30,10.76,CN,1644104086
saint-gabriel,46.3001,-73.3824,8.28,100,6,4.85,CA,1644104086
kumluca,36.3703,30.2869,41.68,64,11,6.67,TR,1644104086
vikravandi,12.0333,79.55,74.93,81,83,4.34,IN,1644104087
tirlyanskiy,54.2109,58.5806,10.31,98,100,1.74,RU,1644104087
mount isa,-20.7333,139.5,83.97,34,1,8.05,AU,1644103873
jiamusi,46.8333,130.35,-4.09,90,45,7.09,CN,1644104087
port elizabeth,-33.918,25.5701,69.1,81,51,19.44,ZA,1644104088
fortuna,40.5982,-124.1573,65.19,59,0,0.0,US,1644104088
tolaga bay,-38.3667,178.3,66.88,81,98,2.64,NZ,1644104088
lagunillas,10.1301,-71.2595,80.49,66,9,12.8,VE,1644104089
pevek,69.7008,170.3133,-26.27,98,33,1.74,RU,1644104089
nawada,24.8833,85.5333,48.49,75,0,5.23,IN,1644104089
pekalongan,-6.8886,109.6753,82.0,88,96,4.03,ID,1644104089
anadyr,64.75,177.4833,-5.3,71,0,2.24,RU,1644103493
bethel,41.3712,-73.414,24.04,71,75,10.36,US,1644104090
georgiyevka,43.0369,74.7114,24.84,68,72,8.95,KZ,1644104090
yulara,-25.2406,130.9889,76.84,33,0,13.8,AU,1644104091
eirunepe,-6.6603,-69.8736,73.42,98,69,2.28,BR,1644104091
hofn,64.2539,-15.2082,28.83,64,75,16.42,IS,1644104091
waitati,-45.75,170.5667,53.8,78,43,6.44,NZ,1644104092
bredasdorp,-34.5322,20.0403,67.32,77,78,19.57,ZA,1644103876
saskylakh,71.9167,114.0833,-29.18,100,99,2.86,RU,1644104092
mount gambier,-37.8333,140.7667,71.51,53,40,10.36,AU,1644104092
padang,-0.9492,100.3543,71.65,92,100,2.26,ID,1644104093
bluff,-46.6,168.3333,56.8,61,63,9.71,NZ,1644103966
touros,-5.1989,-35.4608,81.5,69,8,12.84,BR,1644104092
kaohsiung,22.6163,120.3133,59.04,81,40,4.0,TW,1644104093
fort abbas,29.1925,72.8536,55.0,43,5,10.2,PK,1644104093
victoria,22.2855,114.1577,60.24,82,97,1.01,HK,1644104004
sept-iles,50.2001,-66.3821,1.92,51,0,5.75,CA,1644104035
hope,33.6671,-93.5916,48.25,61,0,3.47,US,1644104094
haines junction,60.7522,-137.5108,30.15,74,100,1.14,CA,1644104094
christchurch,-43.5333,172.6333,59.2,77,75,1.99,NZ,1644103800
wattegama,6.7989,81.4808,66.69,95,75,4.74,LK,1644104095
kupino,54.3663,77.2981,5.47,81,53,9.15,RU,1644104095
pitimbu,-7.4706,-34.8086,79.39,70,59,11.01,BR,1644104095
rancharia,-22.2292,-50.8931,74.32,89,99,3.29,BR,1644104096
torbay,47.6666,-52.7314,47.75,95,100,24.16,CA,1644104096
krasnoturinsk,59.7666,60.2086,13.03,95,100,7.2,RU,1644104096
wangqing,43.3218,129.7634,0.77,83,17,2.84,CN,1644104097
khandagayty,50.7333,92.05,-20.36,98,96,4.34,RU,1644104097
tecpatan,17.1333,-93.3,63.41,99,100,4.38,MX,1644104097
kamaishi,39.2667,141.8833,18.55,53,43,13.24,JP,1644104098
helong,42.5397,128.9972,7.54,68,28,8.57,CN,1644104098
tursunzoda,38.5144,68.2333,43.68,90,100,6.17,TJ,1644104098
aykhal,66.0,111.5,-10.48,100,95,3.6,RU,1644104099
mersing,2.4312,103.8405,80.51,83,100,11.5,MY,1644104099
champerico,14.3,-91.9167,90.14,67,7,7.99,GT,1644104099
poum,-20.2333,164.0167,80.28,78,97,4.05,NC,1644104099
bhaderwah,32.9784,75.7186,36.32,81,100,3.2,IN,1644104100
jalu,29.0331,21.5482,54.84,49,0,5.39,LY,1644104100
bourail,-21.5667,165.4833,83.66,74,71,6.71,NC,1644104101
kharan,28.5833,65.4167,56.93,25,1,5.12,PK,1644104101
bulaevo,54.9056,70.4439,9.54,77,100,9.08,KZ,1644104102
amapa,1.0,-52.0,72.39,99,96,3.02,BR,1644104102
vila velha,-20.3297,-40.2925,78.75,86,75,1.99,BR,1644103721
dwarka,22.2394,68.9678,67.84,64,0,4.81,IN,1644104102
linhares,-19.3911,-40.0722,74.53,88,84,4.54,BR,1644104044
ca mau,9.1769,105.15,74.71,75,60,5.95,VN,1644104103
buala,-8.145,159.5921,84.83,76,88,8.39,SB,1644104103
ribeira grande,38.5167,-28.7,60.06,75,23,12.33,PT,1644104103
saldanha,-33.0117,17.9442,73.45,69,44,3.94,ZA,1644103909
banjar,-8.19,114.9675,80.46,82,72,1.77,ID,1644104104
olinda,-8.0089,-34.8553,82.13,65,20,5.75,BR,1644104104
pisco,-13.7,-76.2167,69.85,83,0,6.91,PE,1644104104
yenagoa,4.9247,6.2642,77.56,86,1,3.71,NG,1644104105
shingu,33.7333,135.9833,39.9,57,39,12.91,JP,1644104105
muroto,33.2833,134.15,30.24,52,43,11.25,JP,1644104106
akdepe,42.0551,59.3788,35.69,80,100,20.89,TM,1644104106
cap malheureux,-19.9842,57.6142,79.47,77,100,5.99,MU,1644104106
laguna,38.421,-121.4238,68.29,43,0,1.01,US,1644103967
geraldton,-28.7667,114.6,75.61,83,100,6.91,AU,1644103887
wilson,36.1501,-86.2833,33.35,63,0,3.44,US,1644104054
leningradskiy,69.3833,178.4167,-20.56,96,10,3.49,RU,1644104107
cravo norte,6.3017,-70.2041,89.33,35,87,3.94,CO,1644104107
sestri levante,44.2732,9.3968,54.64,85,0,5.39,IT,1644104108
ballina,-28.8667,153.5667,75.16,74,75,20.71,AU,1644104108
norman wells,65.282,-126.8329,-16.56,63,75,4.61,CA,1644104108
muisne,0.6,-80.0333,75.47,90,87,4.7,EC,1644104109
kimbe,-5.5502,150.1429,86.23,67,100,6.38,PG,1644104109
vila,42.0304,-8.1588,36.48,82,0,4.05,PT,1644104109
broome,42.2506,-75.833,12.0,73,0,3.0,US,1644104109
narasannapeta,18.4167,84.05,64.62,57,92,5.5,IN,1644104110
margherita di savoia,41.3742,16.1502,51.93,84,57,3.69,IT,1644104110
makakilo city,21.3469,-158.0858,80.92,60,75,10.36,US,1644104110
sao joao da barra,-21.6403,-41.0511,77.4,84,21,26.42,BR,1644104111
johi,26.6921,67.6133,58.57,27,0,6.2,PK,1644104111
sioux lookout,50.1001,-91.917,8.98,78,100,5.75,CA,1644104111
macheng,31.1783,115.0319,38.71,57,100,4.36,CN,1644104112
chernyshevskiy,63.0128,112.4714,-1.19,98,100,2.24,RU,1644104112
biak,-0.9131,122.8766,80.01,74,100,0.83,ID,1644104113
mahebourg,-20.4081,57.7,79.25,83,40,11.5,MU,1644104113
riyadh,24.6877,46.7219,51.94,37,0,8.84,SA,1644104113
ruwi,23.5996,58.5507,65.89,44,0,3.8,OM,1644104114
la orilla,17.9833,-102.2333,79.23,60,0,6.49,MX,1644104114
kloulklubed,7.0419,134.2556,77.5,79,93,22.12,PW,1644104114
nioro,13.35,-15.75,78.28,15,0,4.32,GM,1644104115
dali,25.7,100.1833,43.05,96,100,3.58,CN,1644104115
ust-omchug,61.15,149.6333,-18.94,82,35,3.6,RU,1644104116
sambava,-14.2667,50.1667,74.5,89,99,3.47,MG,1644104116
kaeo,-35.1,173.7833,79.32,89,91,7.9,NZ,1644104116
natitingou,10.3042,1.3796,73.74,15,0,8.03,BJ,1644104117
antalya,36.7741,30.7178,42.1,77,0,5.75,TR,1644104117
ulagan,50.6321,87.9563,-13.74,84,31,3.24,RU,1644104117
buin,-33.7333,-70.75,86.32,44,0,5.61,CL,1644104118
bolivar,37.6145,-93.4105,40.28,51,6,11.65,US,1644104118
porto walter,-8.2686,-72.7439,79.2,74,93,4.45,BR,1644104118
banda aceh,5.5577,95.3222,78.22,76,96,6.55,ID,1644104118
port lincoln,-34.7333,135.8667,76.75,51,90,17.31,AU,1644103821
coahuayana,18.7333,-103.6833,87.28,58,9,4.43,MX,1644104119
amahai,-3.3333,128.9167,82.71,69,99,4.43,ID,1644104119
moosomin,50.1333,-101.6677,6.39,95,98,6.29,CA,1644104120
itatskiy,56.07,89.0369,12.56,90,100,4.05,RU,1644104120
comodoro rivadavia,-45.8667,-67.5,67.86,52,0,11.5,AR,1644104120
san pedro,14.35,121.0167,78.35,71,40,9.22,PH,1644103808
uvalde,29.3669,-99.767,51.13,20,0,6.91,US,1644104121
asyut,27.181,31.1837,49.77,58,0,6.08,EG,1644104121
houma,29.5958,-90.7195,48.2,57,0,4.61,US,1644104121
zhoucheng,35.9122,116.3117,33.03,33,77,1.3,CN,1644104122
bambous virieux,-20.3428,57.7575,79.21,83,40,11.5,MU,1644104122
srednekolymsk,67.45,153.6833,-36.54,99,36,3.51,RU,1644104122
souillac,-20.5167,57.5167,79.36,83,40,11.5,MU,1644104122
hasaki,35.7333,140.8333,30.6,39,18,14.5,JP,1644104123
san patricio,28.017,-97.5169,54.54,38,0,5.48,US,1644104123
santa cruz de la palma,28.6835,-17.7642,67.14,68,0,6.91,ES,1644104123
qualiano,40.9226,14.1501,53.85,86,0,1.99,IT,1644104124
hovd,48.0056,91.6419,-13.58,75,17,3.71,MN,1644104124
alofi,-19.0595,-169.9187,75.09,94,99,8.05,NU,1644104124
savinka,50.0785,47.0994,7.56,96,49,9.82,RU,1644104125
peniche,39.3558,-9.3811,54.88,83,0,11.9,PT,1644104125
wasilla,61.5814,-149.4394,33.4,67,20,0.0,US,1644104125
hanzhong,33.0728,107.0303,33.4,92,100,6.31,CN,1644103996
katete,-0.7818,29.7544,62.22,77,94,3.0,UG,1644104126
vardo,70.3705,31.1107,26.96,79,87,28.41,NO,1644104126
golkoy,40.6875,37.6178,29.61,82,90,9.31,TR,1644104126
camocim,-2.9022,-40.8411,78.51,84,35,11.34,BR,1644104127
iqaluit,63.7506,-68.5145,-29.47,68,40,4.61,CA,1644104127
kuningan,-6.9758,108.4831,71.73,94,100,2.39,ID,1644104127
kinango,-4.1372,39.3153,74.25,90,100,3.0,KE,1644104128
arrifes,37.7667,-25.7,57.24,82,20,6.91,PT,1644104128
antipino,57.1068,65.7576,12.54,95,100,3.47,RU,1644104128
kendari,-3.945,122.4989,80.08,87,100,6.33,ID,1644104129
usogorsk,63.4106,48.6872,-0.56,97,72,6.78,RU,1644104129
roros,62.5747,11.3842,28.24,69,100,5.75,NO,1644104129
oranjemund,-28.55,16.4333,65.84,87,61,7.9,NA,1644104130
rincon,32.296,-81.2354,50.86,62,4,6.51,US,1644103911
okha,53.5739,142.9478,3.34,90,100,19.17,RU,1644104130
sakakah,29.9697,40.2064,45.97,72,26,7.72,SA,1644104130
jumla,29.2747,82.1838,25.18,52,1,6.04,NP,1644104131
jacareacanga,-6.2222,-57.7528,74.28,98,90,0.56,BR,1644104131
luau,-10.7073,22.2247,62.15,96,70,3.33,AO,1644104131
abu dhabi,24.4667,54.3667,69.91,70,0,1.99,AE,1644104132
wadi,17.0667,76.9833,65.93,35,38,6.51,IN,1644104132
visby,57.6409,18.296,36.77,87,64,18.41,SE,1644104132
kununurra,-15.7667,128.7333,78.78,100,40,3.44,AU,1644104133
aldan,58.6031,125.3894,-12.57,98,100,4.72,RU,1644104133
vila franca do campo,37.7167,-25.4333,59.2,82,92,12.24,PT,1644104133
welver,51.6167,7.9667,45.21,78,100,22.97,DE,1644104133
asfi,32.2994,-9.2372,58.82,74,63,18.48,MA,1644104134
thompson,55.7435,-97.8558,-11.04,64,75,3.44,CA,1644104086
tarko-sale,64.9225,77.785,-18.62,100,97,4.05,RU,1644104134
plainview,40.7765,-73.4673,25.52,66,20,3.0,US,1644104134
ancud,-41.8697,-73.8203,63.93,77,34,2.8,CL,1644104135
sale,34.0389,-6.8166,54.64,100,40,0.0,MA,1644104135
sinnamary,5.3833,-52.95,76.39,89,82,10.78,GF,1644104135
waipawa,-41.4122,175.5153,55.45,94,100,14.67,NZ,1644104136
salisbury,51.0693,-1.7957,51.1,81,75,21.85,GB,1644104136
simpang,-1.2667,104.0833,74.44,95,100,3.13,ID,1644104136
saint-joseph,-21.3667,55.6167,79.18,81,100,12.39,RE,1644103848
puerto escondido,15.85,-97.0667,83.23,74,40,5.75,MX,1644104137
georgetown,5.4112,100.3354,79.9,89,20,1.99,MY,1644103951
hamilton,39.1834,-84.5333,22.39,80,75,1.01,US,1644103982
koulikoro,14.0,-7.75,68.18,11,0,8.23,ML,1644104138
solok,-0.7918,100.6593,67.15,98,100,2.06,ID,1644104138
bogatyye saby,56.0102,50.4483,16.88,97,100,4.21,RU,1644104138
kawalu,-7.3817,108.2082,75.11,91,93,2.46,ID,1644104139
palmer,42.1584,-72.3287,20.48,59,20,3.0,US,1644104139
oussouye,12.485,-16.5469,75.38,69,1,6.4,SN,1644104139
victoria point,-27.5833,153.3,79.18,68,85,7.0,AU,1644104140
russell,32.3502,-85.1999,47.8,61,0,5.3,US,1644104140
dongsheng,39.8161,109.9776,11.8,49,82,6.55,CN,1644104140
soto la marina,23.7667,-98.2167,58.77,31,2,8.5,MX,1644104140
takoradi,4.8845,-1.7554,79.74,86,20,7.61,GH,1644104141
baryshivka,50.361,31.3217,33.96,88,100,10.33,UA,1644104141
tazovskiy,67.4667,78.7,-16.6,100,84,6.62,RU,1644104141
ende,-8.8432,121.6623,81.3,80,52,4.03,ID,1644104142
clyde river,70.4692,-68.5914,-27.17,68,100,2.3,CA,1644104072
atambua,-9.1061,124.8925,78.98,76,66,2.53,ID,1644104087
kardla,58.9978,22.7492,32.05,89,10,11.14,EE,1644104142
wagar,16.1525,36.2032,62.87,60,0,12.39,SD,1644104142
masvingo,-20.0637,30.8277,62.15,95,39,8.66,ZW,1644104143
roald,62.5833,6.1333,39.34,65,75,21.85,NO,1644104143
najran,17.4924,44.1277,65.05,62,0,4.92,SA,1644104143
sarany,58.5,58.8833,13.41,93,100,13.82,RU,1644104144
xuddur,4.1213,43.8894,67.98,85,51,10.92,SO,1644104144
bathsheba,13.2167,-59.5167,79.41,69,40,12.66,BB,1644104145
morant bay,17.8815,-76.4093,82.02,69,7,10.27,JM,1644104145
chokurdakh,70.6333,147.9167,-32.26,100,100,2.68,RU,1644104145
san cristobal,7.7669,-72.225,73.58,93,72,2.24,VE,1644104145
antalaha,-14.9003,50.2788,73.99,87,100,3.47,MG,1644104146
emba,48.8264,58.1442,21.78,95,100,3.4,KZ,1644104146
grand gaube,-20.0064,57.6608,79.38,77,100,5.99,MU,1644104146
ziro,27.6333,93.8333,27.52,97,71,2.95,IN,1644104147
kaduna,10.5222,7.4383,66.81,21,1,9.8,NG,1644104147
yuli,9.6989,10.2744,68.92,24,4,8.46,NG,1644104147
san vicente,-26.6167,-54.1333,67.17,94,97,0.76,AR,1644104148
kenai,60.5544,-151.2583,32.09,90,0,8.05,US,1644103864
mtimbira,-8.7833,36.35,73.09,79,97,0.78,TZ,1644104148
telemaco borba,-24.3239,-50.6156,68.45,100,99,0.31,BR,1644104148
neiafu,-18.65,-173.9833,79.48,83,75,5.75,TO,1644104149
buraydah,26.326,43.975,48.65,49,0,8.21,SA,1644104149
awjilah,29.1081,21.2869,54.93,51,0,6.22,LY,1644104149
juegang,32.3174,121.1855,32.92,52,53,3.22,CN,1644104150
north ogden,41.3072,-111.9602,42.93,46,0,5.75,US,1644104096
den helder,52.9599,4.7593,48.18,89,100,28.99,NL,1644104150
henties bay,-22.116,14.2845,66.85,80,41,4.47,NA,1644104088
toktogul,41.8708,72.9402,22.35,57,100,1.77,KG,1644104150
beecher,43.09,-83.6944,20.95,80,75,1.01,US,1644104151
jijiga,9.35,42.8,60.39,25,18,9.37,ET,1644104151
yar-sale,66.8333,70.8333,-12.91,100,83,3.09,RU,1644104151
hami,42.8,93.45,25.83,29,100,7.36,CN,1644104152
krasnoselkup,65.7,82.4667,-17.88,100,94,4.21,RU,1644104152
ribas do rio pardo,-20.4431,-53.7592,75.83,86,100,6.06,BR,1644104152
concordia,-31.393,-58.0209,75.78,57,0,11.99,AR,1644104153
bell ville,-32.6259,-62.6887,63.21,64,51,6.42,AR,1644104153
bambanglipuro,-7.95,110.2833,65.61,83,64,4.41,ID,1644104153
tulskiy,44.5094,40.1762,25.66,64,56,3.76,RU,1644104154
ponta do sol,32.6667,-17.1,67.01,54,13,12.37,PT,1644104154
belmonte,-15.8631,-38.8828,73.9,85,82,7.52,BR,1644104154
dikson,73.5069,80.5464,-19.82,100,99,3.62,RU,1644103943
araouane,18.9048,-3.5265,64.38,11,50,8.9,ML,1644104155
breytovo,58.2993,37.8617,3.18,99,94,6.93,RU,1644104155
beringovskiy,63.05,179.3167,-8.27,91,61,14.16,RU,1644104156
puerto leguizamo,-0.1934,-74.7819,74.34,96,77,2.04,CO,1644104156
